oii_3726_flux,neiii_3869_flux,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6731_flux,Redshift,bptclass
29.87828,-1.847041,11.85567,47.3665,54.13749,181.5262,19.16762,0.05598787,2
48.75391,-2.035048,35.46671,38.33226,25.78963,127.3058,25.72297,0.05265425,1
-0.3615074,-0.4402583,5.567666,18.89721,4.083941,40.48693,-0.5160196,0.08933747,2
32.11709,7.667253,15.59901,53.18228,76.35482,211.5018,28.47964,0.06502353,1
17.37712,2.074602,16.26119,42.86956,61.2213,195.5197,24.30562,0.05598059,1
2.507094,5.456329,17.7017,3.303172,15.84072,21.55664,7.073156,0.09708638,5
52.75665,5.581889,29.73346,60.80691,73.87218,229.1325,33.85824,0.06477907,1
49.50443,-8.345798,35.72292,62.10917,71.03431,233.1141,32.56358,0.06477667,1
53.26461,11.34586,32.56529,36.78978,25.23568,116.8699,23.1536,0.05265867,1
39.72469,-1.453125,14.43169,46.94843,74.37387,206.2126,26.93752,0.06495924,1
7.614783,-2.884675,0.2394872,10.79047,10.09893,29.84661,5.914584,0.08429205,2
3.652538,-3.0421,3.604091,5.740711,13.0033,27.62048,5.453747,0.08439621,2
-90.82194,-0.3765789,14.35587,19.10229,11.94982,23.9577,5.10035,0.08931196,2
0.254246,6.534941,19.35973,1.673159,13.27273,22.05403,5.186358,0.09704147,5
23.85733,-3.268956,5.849055,11.11639,45.10143,64.06422,15.5901,0.09031707,5
2.70428,-2.321821,4.281445,3.402148,14.31235,37.98845,0.8574655,0.2156694,2
0.8336696,-1.060306,2.779737,9.77319,25.55181,39.7061,4.00624,0.2156489,5
40.4131,1.30682,20.20715,22.93367,58.8709,77.04804,37.11067,0.1346802,5
56.94071,5.865434,30.1875,26.23723,66.0034,75.17068,28.85622,0.1348305,5
6.311767,11.2066,3.657607,8.351458,30.143,58.95773,10.20929,0.1314682,2
0,12.45636,62.74385,47.89519,12.78085,129.3038,15.88207,0.006282841,1
0,16.45317,35.02144,32.96618,7.722822,95.59243,16.08574,0.006282213,1
-1.657838,-1.764514,5.163755,9.582579,15.94356,39.90361,1.372628,0.1336352,2
6.651116,3.187754,17.37961,7.084506,26.94582,43.18211,3.97719,0.1314801,5
9.680293,0.7764981,18.207,11.47643,50.72959,74.27435,14.66408,0.09024068,5
3.272221,2.926894,4.13738,9.046414,21.9452,56.47032,-0.06901873,0.1337304,2
5.076125,1.542178,4.586644,-3.411979,11.51293,39.64566,2.636751,0.1232099,2
40.86594,4.92245,18.08399,66.98206,147.909,351.3045,36.9456,0.06518305,1
115.8856,10.84698,135.8997,24.93788,248.9264,169.8101,76.62032,0.09755617,4
119.101,24.43279,139.3042,26.14359,236.6659,163.2021,75.19833,0.09757023,4
8.226474,12.0124,5.018,28.9184,49.30979,129.6179,17.28537,0.06075863,2
50.59085,0.831885,26.21341,73.13292,94.02802,332.5545,30.872,0.1548131,1
33.36218,-4.41853,17.11002,67.97112,144.9492,340.6574,41.32718,0.06522541,1
141.8493,13.5625,95.84792,257.9409,563.4586,1151.211,153.6808,0.06490172,1
148.1703,9.018086,91.97394,249.5379,551.7997,1138.16,163.149,0.06492077,1
8.583004,6.216227,10.5722,30.73027,56.05157,144.6518,17.30779,0.0606144,2
